,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
130.0864@61.14,317148.70537,236109.40107,439672.16614,384402.18838,355574.35678,142579.55556,303703.76212,459060.17328,326273.2568,68150.97168,288217.25746,207025.87054,283998.72092,174527.1646,455380.49432,332093.92479,260537.34228,397436.34557,303445.66311,175205.87323,352465.81897,55607.30103,316958.70362,282061.87544,317048.07887,352924.04791,193150.24146,364732.67675,99466.37041
131.0822@31.93,30289.62313,27813.44505,40756.04634,28886.41842,32669.00232,26553.14855,30733.50179,42349.66581,27900.89371,9323.9162,28668.30869,24094.37357,31211.13441,29200.39555,24776.13573,35559.21005,30295.17285,29038.65492,29642.88722,23401.80611,34394.40403,10791.83472,26808.58938,33882.29697,25582.20854,42759.81517,29370.47227,35632.72764,3004.97994
131.0896@61.41,21946.53455,14533.40479,30812.69173,26173.30243,23992.67567,9390.89505,20364.14938,30575.46587,18263.01855,3654.56985,14909.4675,12713.89165,19063.16896,10383.66261,28434.98163,22549.21048,17048.68199,27641.6604,20674.86568,10789.94077,24989.97234,3180.40777,20631.66163,17829.71405,21016.3536,23042.54381,12726.71925,25364.22187,5833.15324
132.8669@136.74,260942.51589,291908.16656,217266.69865,272539.76701,364629.77263,202468.183,246290.9395,206576.93404,234770.34807,212840.22952,259583.43616,122668.53851,202145.69197,259328.33496,187428.08943,238671.37737,264230.36658,249725.1588,256328.02123,246117.90385,218001.1198,252826.3829,222221.50093,203290.2335,207009.72865,379061.45971,284792.16487,182087.05363,262437.69909
132.8992@567.71,9352.18423,143111.14692,117304.56291,115557.55227,87543.58195,79962.12412,178564.27589,113027.71553,186816.49207,143215.64254,64362.0271,86490.71684,72796.21538,87220.12998,87818.8146,144298.07825,88145.8723,96920.04937,111390.63976,73533.61378,80404.49239,98413.13857,90619.3704,111371.1428,85735.42019,93562.2145,134875.45829,65846.37874,76402.68315
132.9218@635.53,363671.52316,396413.51738,480765.71122,311775.27239,445524.37317,490514.4105,493766.16675,1053957.81071,322200.62356,480028.90766,316925.13269,451701.0662,1069051.71802,305405.4387,538035.64496,404828.1424,321215.08836,567864.10423,343315.79316,1103811.46844,1180956.33371,488703.4025,1091366.56406,1247809.6342,520936.28366,416634.78004,453675.86303,957189.41657,1033150.70302
132.9224@549.07,271622.56771,5081.40163,283589.42965,260929.39543,2597.29886,451658.91579,313683.61725,1098902.56388,224721.93298,362761.15142,235240.44122,258754.89642,1084114.15214,183005.6315,350372.87347,6708.31387,261458.35785,468612.4681,147232.91801,1176043.66555,1171586.76304,12077.73367,398084.38853,1291056.02051,11067.29129,144364.36079,157829.56514,499019.51868,693994.24361
132.981@652.92,285257.49529,292081.04152,288410.82599,284592.93523,304013.96861,262398.61926,285608.0534,266264.46045,289620.05938,272838.70624,285491.35315,276519.16384,272532.78035,304505.36721,283989.74712,285435.06554,266798.20717,262284.90741,296986.22917,284922.56692,272307.66555,274623.35999,291232.43707,277417.28286,276479.84489,307875.73965,301956.63808,282223.86755,270854.91796
133.9224@635.22,32394.6983,36310.71653,37786.74569,27419.86522,27566.40006,40071.09923,40517.97355,95335.18517,27558.25214,36312.27229,26622.21146,22852.27883,95169.67507,27844.41944,38643.43953,35795.81988,29822.19105,40063.06893,29625.37311,94261.61881,106808.53132,37401.629,98873.38068,101184.70368,42369.69507,22723.91554,31595.02122,80952.26765,93611.27516
134.8644@136.92,286677.90529,344623.67684,251846.50442,292710.47259,421298.53592,246786.21105,289146.65494,230002.15797,298947.22092,240224.59492,267941.14192,143587.06269,250109.41764,310136.74812,218889.09446,252113.52506,302470.64885,345442.5143,297327.16266,288479.89519,263217.62753,254175.09834,309755.49208,329519.44037,226124.24093,413512.85914,370968.47496,232363.80119,241915.81861
