,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
613.7733@488.09,32572.57483,61586.66022,17314.75847,30955.06799,68933.35312,1939.41416,28458.14543,6551.13154,14845.66268,1966.46599,4556.96033,24791.38819,9545.65871,28951.16902,1830.8519,19381.09104,2030.83332,18192.0936,20780.97965,24721.18508,15181.7896,702.77982,34531.75886,18666.24167,2291.58327,31687.1749,37963.15535,15324.30506,3091.56282
226.1886@370.53,26361.22617,26184.86245,17825.70275,9854.96742,38559.17139,5320.64939,34367.86929,6679.0882,10547.98951,4852.04703,4404.47054,26749.41449,13551.98255,11409.71484,6930.36477,13922.51673,75213.1279,61045.86875,16560.21735,34947.45066,17676.28657,2702.13791,39896.88487,24474.53362,3755.32234,11997.63917,35442.37448,39276.69447,8566.09968
535.4607@479.02,406882.21847,727711.72558,389402.78336,248122.26407,563780.42183,145530.84625,489141.50523,166874.27398,247574.86854,125416.73429,100600.53863,374848.76993,332873.35898,223171.37649,156987.06661,265012.97841,610933.21821,514554.52683,338100.42987,458386.76472,288239.27431,48480.53358,652514.54652,588471.09858,136259.3133,186717.37961,357692.81105,424246.50992,146760.38473
346.1625@478.96,4032.85159,6952.90753,4454.84101,2790.15314,6699.36236,942.07774,4681.95491,1975.43258,2484.5072,1388.95129,674.77114,4298.19425,4541.80582,3111.50419,1462.32189,2726.14873,6659.83075,5695.74047,4688.18858,5796.31099,3099.61753,855.35309,6285.48846,4464.23066,1073.79235,3077.83002,4635.9273,4161.17648,2809.17416
533.455@479.03,6139401.51347,11129598.30382,6004800.23611,3801801.87274,8532551.67938,2276642.74092,7283018.21046,2638322.10426,3751952.84275,1970947.14074,1572497.28317,5734745.55797,5016882.25105,3424006.9751,2425247.06437,4040647.23784,9367838.52429,7855392.77242,5095498.90257,6945695.57005,4419468.71623,794659.00356,9622069.07984,8879231.76462,2135448.97115,2923046.57876,5385787.38253,6500321.77599,2345579.08981
255.3947@479.04,1624226.70759,3535236.10374,2036923.50614,1128601.13188,2967047.57821,595739.25347,2584552.02528,867114.54905,1111271.64218,678787.3964,556353.63906,2100554.90283,1455722.96503,1037749.24578,849482.63761,1130930.48671,3243336.64185,2683486.67678,1426307.22574,2459549.54722,1330237.62818,532634.59282,3295194.79939,2419948.47297,635847.53817,940564.01399,1541567.03467,1698644.61142,805078.45113
280.2356@511.73,473961.45087,816343.34215,447145.78972,517882.75631,648729.38897,420892.85148,448911.87158,415142.13604,333301.54725,427245.56274,447182.78156,525177.60065,452372.45645,508061.20188,417623.96788,480380.89504,485278.55019,477601.44121,184267.16409,484769.06664,461580.0085,7834.19991,630123.60141,506306.81369,400795.47878,519290.54478,170494.93232,492098.87764,420101.23333
227.2014@415.2,1535323.72974,2121676.93008,1626118.93108,942837.41433,2435894.93857,666130.04473,2162692.02488,933438.85636,917494.90747,561610.54489,629474.25273,1376194.83185,1463954.73938,1202023.58463,727291.89237,1118984.91085,6196091.74145,2833562.76143,1679702.56703,1776542.94329,1388541.15303,523908.56076,2886090.49236,2044724.5896,656574.88903,1193355.79611,2036061.55843,1660160.87512,1158216.33313
258.4073@478.68,314868.22899,552844.16102,307650.68325,233402.50982,456523.49539,73179.53113,346556.11868,111482.00208,247318.15408,74081.69915,54451.8057,422383.8593,362769.03578,201547.34962,127041.48358,262104.88922,507680.54046,451055.47422,372293.94109,378767.20675,197413.62455,4804.09201,384345.96351,458388.81422,114075.6506,172363.7304,378698.35437,265333.6969,124667.84343
215.0324@32.83,156765.54472,160900.53583,170472.0041,165396.061,69956.80414,161610.33488,187208.89414,174884.4828,155267.7547,64917.6192,95650.50314,178680.67087,160115.19076,191521.13268,211279.14018,150110.38325,159755.20635,56578.26191,99103.09685,176153.64583,199394.41323,48217.60037,200178.55283,233457.85858,159270.86982,181918.16178,177331.07891,97508.55534,67371.40588
742.5388@504.3,2919175.17982,17934235.5243,1639263.2074,18197601.10741,14059088.84578,12481408.10695,26983537.00221,25556330.57354,25256339.8459,29327794.39706,23261056.0323,23366970.81371,22695011.67658,18376787.42434,25858847.22723,26122797.4122,16163640.20544,10204761.60244,1397331.25105,22063729.79185,24729468.80481,29876755.63844,29910470.44991,6297748.74158,5275165.05378,14737069.31299,17107996.88213,22472397.45712,28097103.51931
362.2385@446.91,30387.4443,93311.17155,29347.15369,28774.44332,75998.1173,9774.36546,68704.96203,12715.34423,23088.52929,9987.89878,6157.15121,40798.5217,33179.54261,24571.76216,15076.20243,24932.03008,52035.20004,58776.94653,34108.2738,42470.43899,36759.48486,2252.09031,69814.40931,59237.23397,15470.24377,22913.6497,38797.04685,48895.75288,11391.07506
534.4583@479.03,2083713.07822,3821232.7498,2036539.65636,1313482.20373,2896533.83562,784896.91624,2479671.9002,914584.71391,1302044.51858,680272.86739,539280.06178,1961008.56582,1728175.43002,1178846.55727,828783.46204,1398019.65389,3197938.41273,2685077.28682,1762495.62188,2367892.6174,1526034.77568,260385.81073,3303130.57596,3011903.32144,724258.37352,1011748.04698,1845521.24165,2212342.80621,801371.58521
361.235@446.92,154387.99977,457885.50452,150480.50264,137624.73394,379818.66914,49725.07529,338671.4286,65791.92999,115013.03667,50071.87639,31786.21285,202841.1362,161977.06127,123279.72404,75031.82475,127628.56601,259688.69263,286710.08073,164891.75174,211768.57392,180649.43475,14403.36071,341428.12192,302422.78197,78875.68006,109401.48283,189220.03564,234606.17904,59661.99271
