,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
127.0512@31.02,11366.06089,13146.62231,17127.93876,19144.7372,9222.0478,9014.98225,9236.93098,14503.17212,17099.70865,17098.96622,6042.03817,17367.83504,8532.34835,10299.41502,14334.11295,14429.68691,12879.5079,16571.74133,18748.9942,8121.95501,5880.13863,15492.97201,9977.01562,7397.76496,13002.17744,9684.66037,4627.99696,4466.07371,23337.29216,13590.09147
128.0344@497.92,143123.53193,99426.4967,126145.76533,27449.1282,88030.04968,27417.51094,92266.13622,101401.44502,127455.18428,139983.5451,41972.47663,60258.21756,98195.1885,62437.73794,106438.18497,128215.19183,104920.32354,71366.34015,105581.58384,122246.54731,106023.57843,155603.87971,143116.25553,150731.64382,115733.96135,95608.73001,153167.86426,124271.76882,89988.29837,96547.29704
128.0352@29.49,216612.58836,112497.2098,107483.86304,58725.72739,8696.74923,161670.88542,223357.55214,92250.22089,66172.81772,178152.85846,141382.70844,102594.60128,186421.56785,133451.55037,142689.06439,101639.63661,191804.21388,81083.61208,141260.84342,32628.17919,115889.97555,186431.40028,31790.78349,185869.04453,233418.06073,275035.75446,10255.47508,57341.34956,137808.64615,80047.62466
129.0912@195.42,17652.26098,16929.52605,22954.24549,23739.96685,33714.12667,17592.655,24976.2192,3905.91521,31033.79254,17333.41002,21977.44365,19489.19752,5148.54925,36456.45491,32144.71695,23681.10947,24554.44617,34436.34442,24754.32745,23971.34652,32498.29352,16244.27549,23616.59559,23070.03038,33310.40277,31911.18459,32092.53517,32832.20238,17403.62416,23504.17326
130.0864@61.14,391991.9775,175205.87323,205883.53032,352924.04791,317148.70537,326664.56818,260537.34228,207025.87054,265831.91043,298160.83159,265357.40864,236109.40107,283487.95128,384402.18838,268287.39452,206830.00152,200444.65515,174527.1646,291232.39932,99466.37041,397164.838,283998.72092,87715.81973,250698.08628,374154.37275,266086.92467,55607.30103,105653.14559,303445.66311,326273.2568
131.0822@31.93,33743.64983,23401.80611,31764.24456,42759.81517,30289.62313,24378.71674,30295.17285,24094.37357,28951.49144,29751.31232,21057.09343,27813.44505,33275.81474,28886.41842,22612.52959,29148.05371,29812.60692,29200.39555,32046.14478,3004.97994,26007.20912,31211.13441,20067.02756,19542.22346,27960.62995,39516.39174,10791.83472,17397.87294,29642.88722,27900.89371
131.0896@61.41,27597.9371,10789.94077,13072.39868,23042.54381,21946.53455,22280.79159,17048.68199,12713.89165,14504.64713,20047.7204,18095.76566,14533.40479,18483.36836,26173.30243,18570.7779,13914.92529,13212.78196,10383.66261,19485.48953,5833.15324,25468.04003,19063.16896,6234.85863,17672.95836,24919.63925,18124.89668,3180.40777,6906.54941,20674.86568,18263.01855
132.8669@136.74,186747.61349,246117.90385,218439.92244,379061.45971,260942.51589,295242.37517,264230.36658,122668.53851,214853.80357,218497.45463,302244.70781,291908.16656,173518.221,272539.76701,226974.31998,208371.7056,241956.06956,259328.33496,239099.68217,262437.69909,212528.96898,202145.69197,182782.74374,136450.09233,294091.26629,250367.00649,252826.3829,247128.57895,256328.02123,234770.34807
132.8992@567.71,365918.14889,73533.61378,96720.10396,93562.2145,9352.18423,153633.39826,88145.8723,86490.71684,142459.55232,90303.5034,106647.95327,143111.14692,82113.8484,115557.55227,338762.63772,72807.45214,83691.93936,87220.12998,97084.7052,76402.68315,70760.38704,72796.21538,137171.96143,306282.45651,88249.10931,107030.76466,98413.13857,88586.1928,111390.63976,186816.49207
132.9218@635.53,1254531.87426,1103811.46844,1074940.66589,416634.78004,363671.52316,438005.97808,321215.08836,451701.0662,352315.03825,1008679.13452,281182.47819,396413.51738,491674.40435,311775.27239,335824.46298,653319.6203,502855.08946,305405.4387,423252.98108,1033150.70302,593909.71757,1069051.71802,505534.19435,669292.17258,1084498.90188,361984.43099,488703.4025,1254804.75307,343315.79316,322200.62356
